CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,AMENITYID,HASPARKINGSPACE,ISPARKINGSPACEINCLUDEDINPRICE,PARKINGSPACEPRICE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,FLOORCLEAN,FLATLOCATIONID,CADCONSTRUCTIONYEAR,CADMAXBUILDINGFLOOR,CADDWELLINGCOUNT,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_CASTELLANA,lon_normalized,lat_normalized,Zona_Cuadricula,y_valid,y_pred,error_porcentual
60,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1966,5,9,0,0,1,5.512121673587185,0.8539408473925342,1.373220675663028,23.14719122500001,46.615488552633664,2784,123000,140317.56,14.079319105691045
93,3,1,1,1,1,3,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,7.0,2.0,1953,8,29,0,1,0,2.4502101606785427,0.2780950764396552,1.6276204327126282,21.090486993749995,35.68837414473733,2122,336000,484410.7,44.16984747023809
100,4,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1951,10,59,0,0,1,2.501738814763619,0.3590764259233075,1.5378851081225755,34.53252963750003,28.0449319078953,1715,464000,474935.5,2.3567887931034592
135,5,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,1985,8,29,0,1,0,1.4758356783739406,0.2092785355269576,0.665265722,24.49658870625002,22.29605730263141,1345,410000,414082.47,0.9957240853658567
60,2,1,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.0,2.0,1900,4,19,0,0,1,0.6330962994229964,0.06419949,0.5398671112818879,25.23779390624996,25.580909473684063,1526,133000,266270.53,100.20340695488721
35,1,1,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.0,1.0,1924,4,17,0,0,1,0.9718999735779592,0.3022258938563393,1.261846291639221,22.10876467499989,24.25300578947386,1463,157000,185027.67,17.85202030254778
76,2,1,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2.0,0.0,1965,6,25,0,0,1,5.444515097385687,0.501848906,5.233012866608712,4.162913887499895,16.642914078949026,965,144000,136646.89,5.106325954861113
278,5,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1943,8,17,0,1,0,1.3798875119756322,0.3596864933086417,2.054565862309168,19.10779973749995,30.521029934212525,1820,1094000,816675.8,25.34956010054844
92,2,2,0,1,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,2.0,1915,7,26,0,0,1,1.1371512596821116,0.3840822656997477,1.907768927,19.44456657499994,29.453164868420924,1760,348000,411348.22,18.20351113505747
175,4,2,0,1,0,3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,3.0,1.0,1953,7,17,0,1,0,3.118432423777657,0.2186241140917429,1.836039280772567,36.64258277500007,30.60709618421245,1837,719000,664055.94,7.641733310152987
180,2,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1900,7,14,0,0,1,0.7291503469673902,0.155864940726285,1.441131247173385,21.45946930625001,29.217956710528384,1762,683000,717919.44,5.112655563689605
126,3,2,0,1,0,3,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.0,2000,14,30,1,0,0,6.525653982849225,0.915859634,1.730637333330288,37.04046586875,47.47864690789573,2858,576000,663422.7,15.177549913194444
80,1,1,1,1,1,3,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,1974,4,8,0,0,1,5.237583741220012,0.4820008835393882,1.0980637740511627,24.23972741250005,45.657344078948974,2725,184000,242405.92,31.742348845108694
141,5,2,0,1,1,3,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,5.0,1.0,1920,6,19,0,0,1,3.212719095516322,0.101990094931054,0.9979190702693482,33.36199102499992,35.47919197368627,2134,753000,664352.5,11.772576361221777
70,2,1,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1.0,1925,3,5,0,0,1,4.884384876486408,0.1071859543135013,0.8318532464872499,25.26135076250001,44.38399598684309,2666,221000,215347.53,2.557678167420818
220,4,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,2.0,1.0,2004,4,233,0,0,1,7.921084148768821,0.5421681671225581,4.970175577927825,50.68547662499999,44.5659450000022,2691,869000,975768.6,12.286378020713462
70,3,1,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1973,4,12,0,0,1,4.954814048036394,0.7059250221393053,4.009813999754067,9.97683030624997,14.06333315789642,850,124000,131101.8,5.727255544354848
65,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,1.0,1967,8,16,0,0,1,2.5395067765775954,0.061291474,0.7934623942119283,32.53209370625004,32.69750500000168,1953,527000,438040.6,16.880342741935483
100,4,2,1,1,0,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2.0,1.0,1981,3,19,0,0,1,7.858348568,0.1701589517855826,6.136082290000418,53.12866441249998,13.492123881580133,834,178000,193043.3,8.451290379213482
51,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,1958,4,31,0,0,1,5.908531588016569,0.1639371998443873,0.8001523631202283,25.878908187499896,47.92679460526513,2846,163000,165772.89,1.7011598926380378
69,2,1,1,0,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4.0,1.0,1960,5,20,0,0,1,8.745240762903594,0.3215366113497487,6.93658604,58.86179065625005,39.02399348684264,2399,174000,150775.62,13.347341954022983
114,4,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,1960,8,21,0,1,0,4.523784952,0.3290116992422915,1.0635164365469345,24.107765431250023,43.170199078949175,2605,321000,358136.25,11.568925233644855
54,2,1,1,1,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,1.0,1950,5,24,0,1,0,2.170283330590282,0.3643791164333705,2.102977786847976,19.4059931125,34.14928151315971,2060,239000,277703.78,16.19405073221758
