Precio_real,Precio_predicho,Error_absoluto
397000,612295.94,215295.9375
357000,237903.66,119096.34375
683000,411509.0,271491.0
155000,206680.98,51680.984375
455000,350237.12,104762.875
110000,194174.28,84174.28125
488000,288559.5,199440.5
802000,563146.0,238854.0
367000,239634.05,127365.953125
432000,287218.03,144781.96875
184000,199342.2,15342.203125
224000,143355.1,80644.90625
177000,196207.38,19207.375
751000,625932.4,125067.625
131000,150974.98,19974.984375
101000,153141.55,52141.546875
217000,257087.14,40087.140625
144000,123600.32,20399.6796875
208000,223473.89,15473.890625
231000,246131.33,15131.328125
367000,266368.44,100631.5625
188000,246590.39,58590.390625
660000,511943.06,148056.9375
623000,468649.5,154350.5
298000,238253.25,59746.75
130000,154689.83,24689.828125
452000,431117.3,20882.6875
56000,147791.2,91791.203125
93000,134875.02,41875.015625
340000,346797.4,6797.40625
473000,402429.62,70570.375
386000,244196.52,141803.484375
387000,340241.4,46758.59375
113000,129546.33,16546.328125
410000,280185.22,129814.78125
813000,468689.12,344310.875
154000,145067.66,8932.34375
90000,157041.22,67041.21875
148000,170042.77,22042.765625
156000,157735.05,1735.046875
214000,163039.9,50960.09375
620000,487596.5,132403.5
170000,137668.4,32331.59375
107000,147657.69,40657.6875
256000,184320.61,71679.390625
188000,147295.6,40704.40625
318000,234969.75,83030.25
194000,257017.92,63017.921875
200000,187693.84,12306.15625
101000,167708.78,66708.78125
90000,147125.36,57125.359375
850000,450527.56,399472.4375
101000,149325.31,48325.3125
377000,375637.7,1362.3125
326000,233419.84,92580.15625
293000,194080.4,98919.59375
186000,246227.66,60227.65625
178000,184450.8,6450.796875
740000,421177.75,318822.25
166000,141716.62,24283.375
316000,173154.4,142845.59375
141000,146506.61,5506.609375
320000,271886.53,48113.46875
188000,129100.4,58899.6015625
640000,510006.8,129993.1875
175000,230229.31,55229.3125
137000,200470.86,63470.859375
217000,183862.22,33137.78125
97000,137732.19,40732.1875
693000,670730.8,22269.1875
385000,309918.94,75081.0625
204000,195142.72,8857.28125
251000,202628.1,48371.90625
79000,333359.0,254359.0
98000,150486.36,52486.359375
93000,115046.44,22046.4375
366000,223143.05,142856.953125
157000,143850.92,13149.078125
569000,426348.06,142651.9375
115000,146893.22,31893.21875
444000,392961.53,51038.46875
240000,214498.14,25501.859375
263000,207791.27,55208.734375
97000,205106.81,108106.8125
130000,172151.6,42151.59375
254000,169114.0,84886.0
946000,659381.9,286618.125
108000,150645.73,42645.734375
426000,352104.0,73896.0
1006000,504740.5,501259.5
170000,193306.1,23306.09375
